city_name	population	average_income	area_sq_km	founded_date	mayor_name	tourist_attractions	average_temperature	time_zone	major_industries
Parigi	2621068	51067.26	468.8	9/21/1824	Lisle Clynter	monument	23.3	Asia/Jakarta	tourism
Nepeña	8052411	84560.01	472.64	4/6/1994	Karlan Giral	monument	9.9	America/Lima	manufacturing
Alor Setar	2499175	91776.4	454.85	6/11/1755	Malorie Ekless	museum	7.9	Asia/Kuala_Lumpur	manufacturing
Vilar do Pinheiro	2751400	60494.44	20.79	8/29/1937	Billie Worledge	monument	38.6	Europe/Lisbon	manufacturing
Maco	7930256	79109.28	272.69	10/22/1760	Mirelle Gledhill	monument	32.2	Asia/Manila	technology
Volodars’k-Volyns’kyy	663504	80734.07	885.95	8/29/1896	Kit Velareal	park	-2.9	Europe/Kiev	manufacturing
Göteborg	6301291	98922.97	216.6	6/28/1893	Kial Scadden	park	39.9	Europe/Stockholm	manufacturing
Cuihuangkou	6982852	52709.82	539.37	3/29/1806	Athene Padula	park	0.8	Asia/Shanghai	tourism
Polo	8181695	50792.2	756.94	5/3/1736	Antonio Soans	park	10.4	Asia/Makassar	technology
Arras	4389158	53909.26	943.3	3/17/1766	Berne Regitz	park	-6.5	Europe/Paris	tourism
Egindiköl	27776	45534.3	684.54	7/14/1895	Annamaria Penke	museum	-19.6	Asia/Almaty	technology
Debrecen	7447615	26154.5	240.42	5/13/1858	Ginevra Mitchall	park	25.0	Europe/Budapest	manufacturing
Nerchinsk	8258039	37541.25	247.35	2/13/2004	Trula Measures	monument	27.4	Asia/Yakutsk	tourism
Dalongzhan	8951556	72901.68	455.51	7/22/1899	Seth Scandrett	monument	13.4	Asia/Shanghai	manufacturing
Nipawin	9075202	28281.04	922.11	8/4/1843	Sib Gethen	park	0.7	America/Regina	technology
Qijing	6544994	96975.21	753.69	5/27/1775	Tarrance Sommerled	museum	-1.2	Asia/Chongqing	manufacturing
Tha Luang	8259451	38019.97	484.23	3/13/1821	Ann-marie Fielder	museum	19.8	Asia/Bangkok	technology
Balong Wetan	2341089	70394.48	525.32	1/23/1752	Ben Lavall	monument	28.5	Asia/Jakarta	technology
Balitoc	1613579	94264.61	898.87	12/1/1703	Fernanda Steffan	park	-18.1	Asia/Manila	technology
Beslan	7399109	37009.84	372.58	8/25/1727	Aurel Merigon	monument	14.7	Europe/Moscow	tourism
Åhus	5190528	21563.01	411.85	7/29/1729	Ronnie Brennand	park	-5.2	Europe/Stockholm	technology
Phu Loc	9429125	20925.21	694.99	8/4/1740	Karlens Ingerson	monument	32.0	Asia/Ho_Chi_Minh	manufacturing
Shangani	4653877	49627.8	61.75	2/5/1803	Mickie Stag	museum	6.4	Africa/Harare	technology
Huilong	1023969	33489.57	289.93	8/4/1811	Lisetta Rosenkrantz	park	36.3	Asia/Shanghai	technology
Ourozinho	4552746	43430.67	994.36	2/11/1855	Melina Slora	park	-9.6	Europe/Lisbon	manufacturing
Sidi Yahya Ou Saad	4667839	36353.25	320.77	9/26/1705	Baxter Allin	park	33.3	Africa/Casablanca	technology
Pointe Michel	4625799	33914.05	935.04	8/9/1749	Flory Theyer	museum	-18.6	America/Dominica	manufacturing
Hofors	8983027	62263.48	769.0	2/6/1962	Nil Ubee	monument	12.7	Europe/Stockholm	technology
Chanhe	3788569	40191.19	690.55	4/4/1975	Neel MacBey	museum	-6.5	Asia/Chongqing	manufacturing
Amargosa	7033747	50883.18	667.88	9/13/1856	Carlita Buse	museum	-1.9	America/Bahia	tourism
Santa Marcela	7944090	57030.89	270.99	12/20/1944	Jojo Tilbrook	museum	-17.1	Asia/Manila	tourism
Delft	2109667	57572.84	670.36	10/20/1825	Stephi Edinburough	museum	22.1	Europe/Amsterdam	technology
Semikarakorsk	5552497	29174.81	880.47	9/19/1875	Robinett Bruhn	park	10.6	Europe/Moscow	tourism
Saripin	416212	42670.09	905.31	12/22/1807	Alan Phillipp	monument	16.8	Asia/Jakarta	manufacturing
Tupaciguara	8111139	46425.09	326.24	8/18/2010	Allyce Tookill	museum	11.6	America/Sao_Paulo	tourism
Laprida	4280912	69869.34	38.43	4/18/1767	Caesar Hames	park	36.7	America/Argentina/Buenos_Aires	technology
Coihaique	3040232	24844.87	807.67	5/9/1948	Carolus Hinnerk	museum	15.6	America/Santiago	manufacturing
Enjiang	7370391	72930.02	682.6	7/17/1759	Drake Dusting	park	-4.4	Asia/Shanghai	tourism
Zhili	1143283	81263.66	168.58	12/27/1914	Clarie Sisselot	park	-1.9	Asia/Shanghai	manufacturing
Warungbanten	4383525	59197.56	82.83	4/24/1753	Gabriellia Grieg	museum	-3.8	Asia/Jakarta	technology
Tsurib	3519884	28985.05	626.83	4/10/1926	Daniel Lonsdale	park	28.6	Asia/Baku	technology
Chuchkovo	5401921	83506.92	373.16	5/15/1803	Rockwell Holsall	park	-12.8	Europe/Moscow	tourism
Weiyuan	9899974	23391.19	470.57	7/24/1947	Rorie Rotham	museum	-12.5	Asia/Harbin	tourism
Kraczkowa	2578322	97510.43	829.38	12/27/1809	Gal Matasov	monument	39.6	Europe/Warsaw	tourism
Shigou	6015427	53545.61	974.3	10/3/1718	Kristin Lorenzin	monument	-4.7	Asia/Chongqing	manufacturing
Al Jumaylīyah	7420889	62978.23	171.71	6/26/2000	Norbert Bollans	museum	10.1	Asia/Qatar	manufacturing
Tzaneen	9307559	57056.66	318.34	2/21/1857	Niko Hammerton	museum	-0.1	Africa/Johannesburg	technology
Lipnik	2974403	28613.53	903.29	10/7/1846	Reuben Marquet	monument	-7.9	Europe/Warsaw	technology
Dunhua	3997811	47166.18	803.02	10/30/1742	Violet Fancet	monument	0.3	Asia/Harbin	tourism
Lüfeng	9053122	50658.02	955.35	10/11/1842	Rodrick Schust	park	10.0	Asia/Chongqing	technology
Sankera	4188344	68792.63	977.03	3/9/1886	Bartolemo Kilby	monument	7.2	Africa/Lagos	tourism
Langkou	2981310	30902.03	936.05	2/3/1772	Shaw Brody	monument	39.2	Asia/Shanghai	tourism
Tangxi	3632578	53866.81	624.59	3/22/1832	Dennie Steuart	museum	-15.0	Asia/Shanghai	tourism
Gēdo	8580831	22765.04	337.43	12/3/1724	Gilly Ainslie	monument	-4.9	Africa/Addis_Ababa	technology
Maji	5382867	78789.31	167.08	4/4/1775	Marianna Peskin	museum	-17.3	Asia/Chongqing	technology
Oepula	7757384	39209.39	290.64	8/6/1939	Stephani Guslon	monument	29.4	Asia/Makassar	manufacturing
Kinloch	9436365	20630.27	193.8	6/22/1912	Antoni Lush	monument	35.5	Europe/London	manufacturing
Quibdó	3743603	48097.24	880.89	8/16/1717	Trixi Cumes	museum	26.6	America/Bogota	technology
Mossoró	985636	31299.41	507.23	9/5/1877	Rowland McCotter	monument	-8.1	America/Fortaleza	technology
Khlung	7283669	66428.47	255.82	10/21/1919	Clarita McCanny	monument	12.2	Asia/Bangkok	manufacturing
Marseille	2843678	56932.22	596.56	3/26/1867	Lynne Pert	park	-4.2	Europe/Paris	tourism
Sangkalputung	4062367	42673.1	957.23	6/11/1986	Lynett Strudwick	museum	1.4	Asia/Jakarta	manufacturing
Paris 16	6355605	48204.79	781.98	11/29/2020	Kattie Wille	monument	34.8	Europe/Paris	technology
Bungereng	2898603	65495.04	848.99	2/27/1838	Goddard Eldon	monument	14.4	Asia/Jakarta	technology
Nanshe	682240	35775.55	377.39	3/20/1727	Somerset Loftin	monument	7.0	Asia/Chongqing	manufacturing
Bilozerka	5786656	91480.5	880.37	3/8/1844	Melisenda Fretson	museum	-1.6	Europe/Simferopol	tourism
Tianzhen	3667705	23774.81	707.22	11/1/2002	Peterus Halso	museum	12.4	Asia/Shanghai	technology
Hengli	6504744	49563.05	900.66	10/30/1931	Fabio Flinn	museum	0.3	Asia/Chongqing	manufacturing
Mascouche	6217913	44859.66	551.4	6/10/1928	Shauna Chestle	park	4.8	America/Montreal	technology
Jaguaribe	6114251	62270.53	764.92	3/28/2015	Dwain Pablo	museum	-16.9	America/Fortaleza	technology
Yukuhashi	7362581	69228.84	574.4	3/25/1906	Cynthea Brydie	park	-14.3	Asia/Tokyo	tourism
Sollebrunn	2398292	66671.33	885.99	4/14/1718	Federica Partlett	park	0.2	Europe/Stockholm	tourism
Laoxialu	5410662	72157.6	705.1	1/11/1886	Lura Loxton	museum	28.3	Asia/Shanghai	tourism
Hagerstown	1716385	44458.85	892.1	10/7/1968	Lynda McGurk	museum	11.4	America/New_York	tourism
Daja Lorong	7783509	48491.83	815.65	9/13/1870	Pate MacAlpin	museum	39.7	Asia/Jakarta	manufacturing
K’olīto	3441827	77170.61	48.1	11/11/1790	Martica Mulgrew	monument	19.6	Africa/Addis_Ababa	tourism
Mizusawa	5872769	37079.38	289.41	4/5/1718	Edlin Took	museum	-3.8	Asia/Tokyo	technology
Yuwan	4176229	21534.87	764.66	2/14/1840	Dore Gianasi	park	0.9	Asia/Chongqing	tourism
Jiuxian	4560733	44943.27	292.88	2/8/1951	Shirline Karolyi	museum	-6.8	Asia/Chongqing	tourism
Hostavice	4421286	94191.63	886.79	4/17/1804	Linzy McClean	museum	14.1	Europe/Prague	technology
Bagnères-de-Bigorre	7046784	55989.61	652.62	6/24/2002	Kaile Tolomelli	museum	-11.9	Europe/Paris	manufacturing
Higuerote	2624944	67615.16	774.68	6/8/1761	Neils Shemmans	museum	23.2	America/Caracas	manufacturing
El Progreso	5753905	90239.6	774.89	1/15/1903	Vernen Jarley	park	5.8	America/Panama	tourism
Fuxin	1258080	99945.38	353.7	5/25/1850	Haven Brahmer	monument	-7.0	Asia/Harbin	manufacturing
Wonokerso	6225856	93928.57	882.97	5/6/1964	Harbert Manhood	park	18.0	Asia/Jakarta	tourism
Belčišta	7861401	32183.12	869.5	4/26/1768	Nertie Wyllt	park	-6.4	Europe/Skopje	manufacturing
Tayasan	8010625	34578.92	76.27	8/19/1950	Barr Grisenthwaite	park	15.0	Asia/Manila	manufacturing
Huixian Chengguanzhen	9511089	61240.95	414.03	11/5/2002	Ludovico Ambrogi	park	-1.3	Asia/Chongqing	tourism
Gostimë	4337820	57592.44	197.61	1/8/1848	Barri Macy	monument	1.9	Europe/Tirane	technology
San Julian	8102404	75778.64	310.71	12/3/1746	Karisa Showte	monument	24.1	America/La_Paz	tourism
Xiangfu	5440096	68452.8	364.42	2/5/1979	Aube Ruf	monument	-11.5	Asia/Shanghai	tourism
Bestöbe	4065476	93710.26	133.6	7/4/1700	Reeta Polgreen	museum	27.1	Asia/Almaty	technology
Bolikhan	472533	59178.46	871.0	1/1/1993	Elizabet Delouch	park	4.5	Asia/Vientiane	tourism
Mora	9510308	38842.68	14.57	4/5/1947	Ophelie Prewett	park	-13.4	Europe/Stockholm	manufacturing
Lenger	3265607	67228.61	160.01	7/19/1753	Shantee Thorowgood	park	0.7	Asia/Almaty	technology
Hòa Bình	6808511	87401.47	101.19	8/14/1807	Alford Figliovanni	museum	8.8	Asia/Vientiane	technology
Chaiyaphum	5839021	94077.48	810.15	6/5/1730	Brigitte Eldrett	monument	-5.8	Asia/Bangkok	manufacturing
Cikadondongdesa	187678	65308.47	195.45	10/5/1937	Olva Gath	monument	16.4	Asia/Jakarta	tourism
Dalupirip	2420646	46200.5	752.82	12/26/1886	Lucilia Mattiacci	monument	9.3	Asia/Manila	manufacturing
Habartov	5882136	83324.31	938.8	11/30/1938	Janine Tuer	park	25.7	Europe/Prague	tourism
Dongfeng	9266940	60033.03	849.82	9/3/1760	Joshia Timmens	museum	28.1	Asia/Chongqing	tourism
Colonias Unidas	4206156	89527.06	843.98	2/20/1872	Wells Summerell	park	-4.7	America/Argentina/Cordoba	tourism
Yuanshanzi	13865	23843.35	634.41	4/2/1879	Gwyneth Kingman	park	22.2	Asia/Harbin	manufacturing
Huanggong	6982629	32869.35	679.24	2/16/1798	Calv Acosta	museum	-0.3	Asia/Urumqi	technology
Campo	1977715	46517.41	15.99	6/22/1942	Amata Woodstock	monument	18.8	Europe/Lisbon	technology
Qingtong	9650643	51618.01	487.85	5/26/1887	Jamey Mallord	monument	34.8	Asia/Shanghai	tourism
Al Qubbah	4259410	51276.15	781.09	5/4/1817	Ikey Petkovic	park	12.7	Africa/Tripoli	manufacturing
Tembol	1982018	60497.17	524.41	9/25/1852	Mae Assiter	museum	19.2	Asia/Jakarta	technology
Gulao	6571524	30488.37	174.84	12/29/1870	Sancho Callender	museum	6.9	Asia/Chongqing	tourism
Barr	9578018	67443.75	736.17	4/8/1890	Maynord Morse	monument	-19.4	Europe/Paris	manufacturing
Bukonyo	3096707	84525.51	754.07	3/12/1825	Martie Wannan	monument	-13.0	Africa/Dar_es_Salaam	tourism
Clorinda	6618876	81341.93	754.77	5/8/2001	Gallard Wildt	museum	-2.2	America/Asuncion	manufacturing
Antimácheia	4028439	44492.44	313.99	6/19/1726	Gavin Sawle	museum	-12.9	Europe/Athens	tourism
Los Pinos	3458833	65684.7	551.09	12/6/1946	Gloriana Lavers	monument	30.5	America/Mexico_City	manufacturing
Bordeaux	5877751	88554.22	150.03	7/6/1797	Rozanna Thoma	museum	2.2	Europe/Paris	technology
Dongtucheng	7783332	45412.75	132.79	7/9/1757	Alfie Mantripp	park	-11.4	Asia/Chongqing	manufacturing
Tembol	2609717	85372.81	321.96	6/8/1713	Jessica Davidzon	museum	-19.2	Asia/Jakarta	tourism
Barqueiro	6198025	51512.64	689.77	2/26/1894	Florri Balint	museum	-16.2	Europe/Lisbon	manufacturing
Hebu	9871894	42873.56	353.58	6/24/1930	Barth Planks	monument	-19.0	Asia/Shanghai	tourism
Åmål	2013249	23258.96	403.77	3/6/1805	Chuck Clemmow	monument	23.4	Europe/Stockholm	manufacturing
Ruo	9610821	52988.54	472.74	6/28/1706	Roarke Crabb	monument	-1.9	Pacific/Pohnpei	technology
Minjian	4698707	51351.75	282.41	11/23/1838	Kristyn Harrad	park	-12.1	Asia/Chongqing	tourism
Thorpe	7376487	27791.12	347.72	3/9/1951	Annemarie Dixcey	park	1.2	Europe/London	manufacturing
Wangcun	8459364	68225.99	220.45	2/22/1941	Normand Ughetti	park	31.4	Asia/Shanghai	manufacturing
Camasca	8423994	25611.62	623.1	11/7/1807	Scott Mirrlees	museum	6.3	America/El_Salvador	tourism
Novais	3392084	78238.52	974.64	8/20/1722	Alphonso Elfe	park	-7.4	Europe/Lisbon	manufacturing
Neglasari	4738442	36212.7	488.52	7/8/1973	Phaidra Chantrell	museum	9.3	Asia/Jakarta	manufacturing
Çobansığnaq	3405573	76417.93	611.8	3/7/2007	Bridget Gauchier	park	22.9	Asia/Baku	tourism
Ocucaje	9060352	44593.5	248.94	7/22/1776	Donalt Cypler	park	14.5	America/Lima	technology
Gaosheng	7203898	38269.22	648.71	10/6/1990	Faber Senior	museum	33.3	Asia/Chongqing	technology
Vlycháda	4315061	81945.0	131.85	8/27/1824	Rosabella Romney	monument	11.2	Europe/Athens	tourism
Ninove	8166028	72075.14	160.59	7/4/1820	Sansone Dabrowski	park	4.5	Europe/Brussels	manufacturing
San Cristóbal Totonicapán	7859485	94301.62	353.49	11/21/1718	Carol-jean Hunstone	monument	11.7	America/Guatemala	manufacturing
El Paso	7497417	50239.23	786.44	1/25/1978	Vale Parell	monument	13.3	America/Denver	technology
Kuala Lumpur	2303165	72444.08	41.47	4/29/1752	Thom Leadbitter	museum	-3.8	Asia/Kuala_Lumpur	tourism
Papër	9683610	93287.79	869.31	5/6/1938	Nicole Furmston	museum	6.5	Europe/Tirane	technology
Jēkabpils	1034652	73291.5	614.86	5/10/1783	Blakelee Gerrets	park	-12.0	Europe/Riga	technology
Yegor’yevsk	4095423	29881.7	550.45	9/7/1864	Napoleon Bradnum	monument	28.7	Europe/Moscow	manufacturing
Potosí	8902959	56012.75	413.24	4/27/1712	Ellie Pummell	park	37.5	America/La_Paz	manufacturing
Promna	6746103	96258.64	677.78	6/18/1877	Brynn Starmore	monument	-8.0	Europe/Warsaw	manufacturing
Courtaboeuf	9505680	92085.42	989.06	2/27/1810	Sandra Jersch	park	-12.9	Europe/Paris	manufacturing
Perivólia	7698909	71558.36	450.93	1/29/1920	Delphinia Atyea	park	25.0	Asia/Nicosia	manufacturing
Pameungpeuk	3408037	57928.04	820.17	11/23/1758	Lowell Kirstein	monument	-16.0	Asia/Jakarta	technology
Kotkot	3788337	46608.98	680.37	8/2/1735	Corney McLeish	museum	16.2	Asia/Manila	manufacturing
Suzhou	2381976	34331.08	944.63	7/5/1853	Yance Espley	park	-14.6	Asia/Urumqi	tourism
Parry Sound	3993263	82328.29	444.55	3/10/1914	Worth Piddington	museum	-16.5	America/Toronto	manufacturing
Machinga	479298	78121.59	829.42	5/2/1956	Schuyler Wardrop	museum	-16.4	Africa/Blantyre	manufacturing
Krzemieniewo	8895028	57118.22	896.32	6/8/1910	Kevina Dilger	monument	12.4	Europe/Warsaw	technology
Ţafas	1622962	91366.39	651.05	9/8/1770	Arlena Cheers	museum	-11.3	Asia/Damascus	manufacturing
Kurayyimah	6860886	44217.0	631.32	3/1/1793	Jackquelin Skrine	monument	-3.1	Asia/Amman	manufacturing
Nova Viçosa	5087671	49088.39	825.34	9/6/1904	Ulysses Ianitti	museum	37.5	America/Bahia	manufacturing
Beixiang	6776540	72316.5	961.65	12/1/1705	Agosto Carlsen	monument	-11.4	Asia/Chongqing	tourism
Bayan Qagan	9540002	56755.36	251.74	5/30/1773	Craggy Trood	museum	12.8	Asia/Harbin	manufacturing
Maluanluan	8190620	33422.88	14.5	3/18/1837	Jana Gillet	museum	-15.5	Asia/Manila	tourism
Shypyntsi	1237715	37317.79	323.62	9/3/1766	Gaston Bartolini	museum	-0.8	Europe/Uzhgorod	tourism
Mendez-Nuñez	7854331	93751.14	22.77	6/27/1834	Bobbette Purry	monument	17.2	Asia/Manila	tourism
Tambak	201713	76397.41	889.29	3/2/1822	Worden Castelluzzi	museum	36.9	Asia/Manila	manufacturing
Emmen	1690225	51641.48	756.07	6/14/1854	Carmita Paolone	museum	39.9	Europe/Amsterdam	technology
Chanthaburi	9209084	45731.61	608.58	8/9/1988	Jeffrey Crudginton	museum	2.5	Asia/Bangkok	manufacturing
Cartagena del Chairá	4125916	36383.64	244.08	11/25/1912	Roger Mallebone	park	31.1	America/Bogota	technology
Bofuer	5347665	36427.99	908.22	12/14/1724	Baillie Perel	park	4.8	Asia/Jayapura	tourism
Kemiri	4362563	48673.03	115.66	10/19/1889	Melvyn Jura	park	-0.7	Asia/Jakarta	tourism
São Mateus	1276735	75803.7	891.89	5/1/1935	Gloriane Ramage	museum	26.6	America/Sao_Paulo	technology
Gafsa	9885177	73841.47	224.69	6/2/2008	Adelice Robion	museum	-15.0	Africa/Tunis	technology
Campo Maior	1799057	49614.99	597.63	9/4/1864	Georas Gilvear	museum	3.2	America/Fortaleza	manufacturing
Gramoteino	8628722	59058.08	568.89	11/30/1953	Ethelind Haggith	monument	0.1	Asia/Novokuznetsk	manufacturing
Xinpu	3267005	99793.1	403.57	4/13/1915	Cornie Manwaring	museum	-1.9	Asia/Chongqing	manufacturing
Naji	171960	37772.56	864.56	12/20/1852	Susann Twatt	museum	29.0	Asia/Chongqing	technology
Klirou	5231294	54589.01	974.62	4/4/2012	Sharline Pumfrey	park	25.7	Asia/Nicosia	manufacturing
Sanlanbahai	8348552	83663.82	331.39	8/8/1775	Hillary Jerzycowski	museum	39.1	Asia/Chongqing	tourism
Luoshan	2108068	60004.42	855.08	8/28/1754	Julee Kleinstein	park	23.7	Asia/Shanghai	manufacturing
Naebugis	9072677	21984.48	967.58	10/30/1873	Sheree Gueinn	park	27.7	Asia/Makassar	manufacturing
Villa Altagracia	1172393	34461.93	696.47	9/29/1856	Sheelagh Jaan	museum	38.5	America/Santo_Domingo	technology
Fenghuo	8355835	65047.0	110.24	8/14/1740	Blakeley Attawell	park	1.0	Asia/Chongqing	technology
Črenšovci	8131159	77221.84	245.02	12/1/1859	Batsheva Menat	monument	30.7	Europe/Zagreb	tourism
Baoshi	1629265	92344.21	901.95	5/4/1974	Trish Tomasik	monument	-4.2	Asia/Harbin	tourism
Oslo	6914553	56995.0	984.8	11/3/2005	Vaughan Greenlees	monument	-0.4	Europe/Oslo	manufacturing
Chiang Yuen	8709532	94671.39	942.5	7/23/1801	Crissy Kimmerling	museum	27.5	Asia/Bangkok	technology
Xieyang	4670101	29131.28	136.22	12/11/1704	Nettie Ianiello	monument	-6.7	Asia/Shanghai	technology
Pasir	447241	28558.04	395.97	7/3/2003	Byrann Lindenbluth	park	-14.1	Asia/Jakarta	technology
Vân Canh	8590541	97291.57	684.85	10/18/1819	Dennie McCay	museum	-3.5	Asia/Ho_Chi_Minh	manufacturing
Xiayunling	3714395	21775.18	285.88	8/4/1972	Elly Norrington	museum	3.0	Asia/Shanghai	manufacturing
Balaklava	8789667	54466.34	84.73	1/8/1721	Gearard MacCarter	monument	32.4	Europe/Simferopol	technology
Kalnibolotskaya	9552946	25344.86	506.62	11/13/1966	Avril Marcoolyn	park	30.3	Europe/Moscow	tourism
Simuay	4707460	97620.1	407.45	6/15/1812	Kiah Orrocks	monument	13.3	Asia/Manila	manufacturing
Tutong	7027789	47162.9	642.68	2/23/1715	Martguerita Cresswell	park	-18.2	Asia/Brunei	tourism
Xankandi	2237092	35414.5	361.81	12/27/1964	Tamra Parren	museum	21.8	Asia/Baku	technology
Calceta	9495580	29331.94	950.81	12/9/1791	Felicia Hatter	park	-17.8	America/Guayaquil	tourism
Uyo	1039119	22212.68	826.96	6/22/1872	Fawne Spilstead	park	-12.5	Africa/Lagos	technology
Santa Catalina	8957370	79558.56	791.05	3/18/1961	Jeana Rosevear	monument	-18.0	Asia/Manila	manufacturing
Lagangilang	2829208	52103.79	915.29	12/16/1867	Angelo Lethcoe	monument	28.0	Asia/Manila	technology
Vetluzhskiy	5163717	44729.03	305.61	3/14/1996	Merrielle Langhorne	museum	-18.0	Europe/Moscow	technology
Terong	1592868	43415.81	374.0	7/17/1830	Ross Esch	monument	10.1	Asia/Makassar	manufacturing
Uyutne	296885	34807.75	678.45	4/26/1748	Kelley Lebrun	park	5.4	Europe/Simferopol	tourism
Kopashnovo	1141241	47429.48	866.95	4/8/1924	Shae Rosa	monument	38.0	Europe/Uzhgorod	tourism
Yongchang	2511194	35893.15	250.97	9/11/1883	Gwenette Brittle	monument	16.9	Asia/Shanghai	manufacturing
Nasavrky	3111179	35538.78	693.23	3/30/2005	Doyle McVanamy	monument	35.1	Europe/Prague	technology
Cingambul	3914225	69312.8	554.5	8/11/1714	Collie Keyser	monument	-18.1	Asia/Jakarta	manufacturing
Belfast	2254465	53853.03	146.99	8/1/2007	Rusty Bedberry	park	-16.8	Europe/London	tourism
Longyearbyen	6430244	20175.0	909.42	8/19/1998	Brnaby Matzen	monument	30.3	Arctic/Longyearbyen	manufacturing
Monte do Outeiro	9326808	92902.17	656.16	5/7/1917	Carleton Rydzynski	monument	15.7	Europe/Lisbon	manufacturing
Pyhäsalmi	8250265	81377.47	405.32	10/9/1851	Terence Syson	monument	1.9	Europe/Helsinki	manufacturing
Saño	8533296	28402.11	609.36	2/14/1791	Ty Froschauer	park	-2.9	America/Lima	technology
Sugihwaras	7159560	27719.75	240.37	4/30/2017	Leighton Trevor	park	-2.7	Asia/Jakarta	tourism
Tanjungkerta	8786301	58749.3	73.63	11/19/1975	Adena Hortop	museum	20.4	Asia/Jakarta	manufacturing
Lapaz	9061695	41194.8	140.9	2/15/1977	Domingo Laba	park	2.4	Asia/Manila	manufacturing
København	1836057	24802.6	977.71	5/21/1802	Fernandina Kinningley	museum	-4.3	Europe/Copenhagen	technology
Veldhoven	9835511	41520.67	947.56	4/4/1812	Valeria Mongain	museum	35.3	Europe/Amsterdam	manufacturing
Ainaži	286399	59041.93	515.22	7/14/1800	Timothee Firpo	monument	16.2	Europe/Tallinn	technology
Ribeirão	9406961	87465.46	260.27	12/6/1957	Conn Gwin	park	23.2	America/Recife	technology
Arzakan	6365089	48422.37	642.32	11/20/2018	Eleanor Grossier	museum	4.5	Asia/Yerevan	tourism
Yimnón	8486979	67975.94	113.58	1/21/1735	Jacklin Storer	museum	-15.8	Europe/Athens	tourism
Tsil’na	5184851	97028.01	715.65	4/6/1925	Jerome Hundy	museum	1.6	Europe/Volgograd	manufacturing
Shangyi	6464892	51643.91	11.93	6/3/1703	Jacquie Farren	museum	3.9	Asia/Chongqing	tourism
Ansongo	5748351	72619.37	378.59	1/23/1780	Marianne O'Daly	museum	16.3	Africa/Bamako	technology
Korenëvo	9137409	76953.43	291.36	9/27/1907	Danika Brognot	museum	25.2	Europe/Moscow	tourism
Luthu	621808	90829.78	703.4	8/18/1975	Allina Paton	park	1.2	Asia/Jakarta	manufacturing
Narva-Jõesuu	9199224	83997.73	380.69	12/6/1817	Lucky Maylard	monument	7.0	Europe/Tallinn	tourism
Papringan	4978677	70521.51	378.44	1/4/2019	Nikolas Forde	museum	26.5	Asia/Jakarta	manufacturing
Tanqiao	4542567	68470.44	440.58	11/11/1934	Clemmy Hyndes	museum	39.1	Asia/Chongqing	technology
Palmitas	1813390	49797.4	54.66	4/1/1708	Shell Hicklingbottom	monument	-9.8	America/Montevideo	manufacturing
Dzyatlava	283931	45338.85	143.65	4/7/1856	Jelene Domesday	park	17.4	Europe/Minsk	tourism
Maguilling	6397147	38860.47	996.32	1/8/1830	Mercie Gladeche	museum	-18.3	Asia/Manila	technology
Wa	7276035	85041.57	997.61	8/21/1881	Terri-jo Tabord	museum	1.7	Africa/Accra	tourism
Paraty	7522451	61767.44	529.66	4/5/1914	Sherye Jeune	museum	30.3	America/Sao_Paulo	manufacturing
San Salvador	5949494	68254.93	907.42	3/25/1790	Alfy Haresnape	museum	31.6	America/El_Salvador	manufacturing
Chamlykskaya	7202114	47452.9	498.57	4/24/1974	Stacie McKimm	museum	22.8	Europe/Moscow	technology
Sodankylä	4969171	96131.46	869.3	9/21/1959	Lavena Eates	park	2.4	Europe/Helsinki	technology
Chabany	9695921	85009.34	335.39	9/25/1857	Anastasie Burrow	museum	35.3	Europe/Kiev	manufacturing
Igpit	7229762	68768.31	478.69	6/24/1936	Reade Manlow	museum	1.8	Asia/Manila	manufacturing
Labuhantanggabesar	2182961	90824.76	699.21	4/26/1989	Mendie Baggelley	park	-0.2	Asia/Jakarta	tourism
Soledad	2820257	90326.26	40.87	5/14/1888	Dulcia Petcher	museum	18.9	America/Bogota	technology
Lingion	5847401	42460.27	583.81	9/13/1704	Chester Garrelts	monument	0.8	Asia/Manila	technology
Trảng Bàng	3143158	34704.24	366.67	8/10/2014	Shanta D'Aeth	park	-2.3	Asia/Ho_Chi_Minh	technology
Dalududalu	836970	86549.42	687.01	2/9/1958	Calla Dysert	park	28.9	Asia/Jakarta	technology
Carpentras	2181100	37842.34	174.43	3/5/1873	Papagena Vasyukhin	park	19.0	Europe/Paris	tourism
Santo Tomás	5700296	94318.28	659.29	8/22/1979	De witt Ancketill	museum	16.6	America/Managua	manufacturing
Rajal Norte	2031070	29956.25	967.33	5/28/1790	Lammond Busfield	monument	-10.3	Asia/Manila	manufacturing
Banī Mazār	6220866	65332.77	281.16	6/15/1883	Mariya Sanday	museum	2.4	Africa/Cairo	tourism
Qinjiang	4495103	25932.04	869.71	1/6/1840	Waverly Vowles	park	-2.2	Asia/Shanghai	tourism
Sajan	9998478	28555.02	213.96	1/15/1850	Witty de Tocqueville	park	36.7	Europe/Belgrade	manufacturing
Arroyo Seco	9524162	53597.24	788.69	8/21/1847	Rorie Joplin	park	14.5	America/Argentina/Cordoba	technology
Telnice	2839706	53725.09	464.24	6/29/1844	Livia Albrook	monument	39.2	Europe/Prague	tourism
Stockholm	2454644	75086.2	89.41	3/3/2022	Kayle Jesteco	monument	14.4	Europe/Stockholm	technology
Arauá	8551150	28161.14	662.23	12/15/1781	Leilah Filippazzo	museum	28.5	America/Maceio	tourism
